customer_id,nama_pemilik,no_telepon,alamat,kecamatan,kota,kode_pos,car_id,nopol,model,varian,tahun,bahan_bakar,penggerak,transmisi,jenis_oli,interval_oli_km,segmen_pemakaian_asli,km_per_bulan
CUST0012,Agus Batubara,082249086956,"Komp. Tasbih Blok F29, Jl. Karya Wisata",Medan Helvetia,Medan,20124,CAR0012,BK 9916 KG,Avanza,1.3 E,2018,Bensin,RWD,AT,Semi-Sintetik,7000,Heavy Daily,2352.3
CUST0013,Wati Hutapea,082212041955,"Komp. Cemara Asri Blok E14, Jl. Sutomo",Medan Selayang,Medan,20131,CAR0013,BK 1788 FK,Rush,1.5 S TRD,2018,Bensin,RWD,AT,Semi-Sintetik,7000,Weekend Warrior,1976.6
CUST0014,Surya Sembiring,082354605014,"Komp. Tasbih Blok C20, Jl. Adam Malik",Medan Sunggal,Medan,20128,CAR0014,BK 7030 VL,Avanza,1.5 G,2021,Bensin,FWD,MT,Semi-Sintetik,7000,Light Commuter,679.1
CUST0015,Reza Lubis,082296564296,Jl. SM Raja No. 175,Medan Denai,Medan,20227,CAR0015,BK 7788 XW,Innova Reborn,2.4 V Diesel,2021,Diesel,RWD,AT,Full-Sintetik,6000,Weekend Warrior,1990.8
CUST0016,Agus Maulana,085133497451,Jl. Cemara No. 184,Medan Barat,Medan,20231,CAR0016,BK 5276 DR,Innova Reborn,2.0 G Bensin,2021,Bensin,RWD,AT,Semi-Sintetik,7000,Weekend Warrior,1431.4
CUST0017,Rina Ginting,082328217493,"Komp. Citra Garden Blok D6, Jl. HM Yamin",Medan Denai,Medan,20227,CAR0017,BK 8193 WZ,Rush,1.5 S TRD,2023,Bensin,RWD,AT,Semi-Sintetik,7000,Weekend Warrior,877.7
CUST0018,Juliana Setiawan,085237776645,"Komp. Tasbih Blok E19, Jl. Karya Wisata",Medan Baru,Medan,20153,CAR0018,BK 9161 LP,Innova Reborn,2.4 V Diesel,2018,Diesel,RWD,AT,Full-Sintetik,6000,Weekend Warrior,2069.2
CUST0019,Dedi Sembiring,082139686944,"Komp. Tasbih Blok B18, Jl. Marelan Raya",Medan Tuntungan,Medan,20135,CAR0019,BK 7521 ZV,Corolla Cross,1.8 HV,2020,Hybrid,FWD,CVT,Full-Sintetik,10000,Light Commuter,1113.3
CUST0020,Dedi Daulay,081150224121,Jl. Jamin Ginting No. 74,Medan Kota,Medan,20212,CAR0020,BK 1130 CC,Avanza,1.5 G,2024,Bensin,FWD,AT,Semi-Sintetik,7000,Weekend Warrior,1501.7
CUST0021,Wahyu Rahman,085380431584,"Komp. Cemara Asri Blok E15, Jl. Ringroad",Medan Area,Medan,20214,CAR0021,BK 1763 UM,Avanza,1.5 Veloz,2023,Bensin,FWD,AT,Full-Sintetik,9500,Light Commuter,504.5
CUST0022,Gunawan Nugroho,082195833983,Jl. William Iskandar No. 212,Medan Area,Medan,20214,CAR0022,BK 3354 GG,Rush,1.5 S TRD,2020,Bensin,RWD,AT,Semi-Sintetik,7000,Light Commuter,1031.7
CUST0023,Siti Batubara,085322623719,Jl. Krakatau No. 28,Medan Helvetia,Medan,20124,CAR0023,BK 1795 HF,Corolla Cross,1.8 HV,2020,Hybrid,FWD,CVT,Full-Sintetik,10000,Light Commuter,1052.7
CUST0024,Mega Hutabarat,082394477917,"Komp. Citra Garden Blok G29, Jl. Setia Budi",Medan Petisah,Medan,20111,CAR0024,BK 6957 GR,Raize,1.0 Turbo,2018,Bensin,FWD,CVT,Full-Sintetik,9500,Light Commuter,787.9
CUST0025,Iwan Situmorang,082284675139,Jl. Denai No. 79,Medan Petisah,Medan,20111,CAR0025,BK 8131 JM,Vios,1.5 G,2020,Bensin,FWD,CVT,Full-Sintetik,9500,Weekend Warrior,2040.1
CUST0026,Gunawan Batubara,082199219423,"Komp. Tasbih Blok A9, Jl. AH Nasution",Medan Area,Medan,20214,CAR0026,BK 1764 MW,Innova Reborn,2.4 V Diesel,2022,Diesel,RWD,AT,Full-Sintetik,6000,Weekend Warrior,1184.1
CUST0027,Surya Daulay,081377368609,Jl. Gajah Mada No. 223,Medan Polonia,Medan,20157,CAR0027,BK 9641 NC,Raize,1.0 Turbo,2017,Bensin,FWD,CVT,Full-Sintetik,9500,Weekend Warrior,1143.4
CUST0028,Nurul Sinaga,082346914362,Jl. Iskandar Muda No. 184,Medan Selayang,Medan,20131,CAR0028,BK 8437 DC,Avanza,1.5 G,2016,Bensin,FWD,MT,Semi-Sintetik,7000,Light Commuter,864.5
CUST0029,Erlina Sitorus,081221041608,Jl. Glugur No. 39,Medan Selayang,Medan,20131,CAR0029,BK 1138 GD,Innova Reborn,2.0 G Bensin,2021,Bensin,RWD,AT,Semi-Sintetik,7000,Light Commuter,704.6
CUST0030,Maya Santoso,082135243792,Jl. Sutomo No. 80,Medan Labuhan,Medan,20252,CAR0030,BK 2416 LS,Avanza,1.5 G,2016,Bensin,FWD,MT,Semi-Sintetik,7000,Light Commuter,911.6
CUST0031,Gunawan Siregar,081330663513,"Komp. Tasbih Blok G4, Jl. Gatot Subroto",Medan Barat,Medan,20231,CAR0031,BK 2237 XN,Innova Reborn,2.0 G Bensin,2024,Bensin,RWD,AT,Semi-Sintetik,7000,Heavy Daily,2837.1
CUST0032,Hadi Wibowo,082187778236,"Komp. Cemara Asri Blok F24, Jl. Pasar Merah",Medan Polonia,Medan,20157,CAR0032,BK 3518 DS,Veloz,1.5 Q CVT,2016,Bensin,FWD,CVT,Full-Sintetik,9500,Light Commuter,1611.3
CUST0033,Dewi Situmorang,089637082189,"Komp. Royal Sumatra Blok C28, Jl. SM Raja",Medan Johor,Medan,20144,CAR0033,BK 5934 TJ,Calya,1.2 G,2021,Bensin,FWD,MT,Mineral,4500,Heavy Daily,2415.6
CUST0034,Fahmi Rahman,081263715996,"Komp. Tasbih Blok A21, Jl. Kapten Muslim",Medan Polonia,Medan,20157,CAR0034,BK 5282 KR,Hilux,2.4 D-Cab 4x4,2021,Diesel,4x4,AT,Full-Sintetik,6000,Heavy Daily,2480.0
CUST0035,Maya Saragih,081393967644,Jl. Dr. Mansyur No. 117,Medan Sunggal,Medan,20128,CAR0035,BK 9870 AU,Avanza,1.5 Veloz,2023,Bensin,FWD,AT,Full-Sintetik,9500,Light Commuter,855.5
CUST0036,Pranata Tanjung,083832548170,"Komp. Royal Sumatra Blok D23, Jl. Gajah Mada",Medan Sunggal,Medan,20128,CAR0036,BK 6472 AZ,Calya,1.2 G,2023,Bensin,FWD,MT,Mineral,4500,Heavy Daily,2580.7
CUST0037,Ratna Suryadi,082247122069,"Komp. Citra Garden Blok A19, Jl. Bromo",Medan Labuhan,Medan,20252,CAR0037,BK 3549 NK,Yaris,1.5 S,2016,Bensin,FWD,CVT,Full-Sintetik,9500,Light Commuter,975.8
CUST0038,Robby Tanjung,082199507713,Jl. HM Yamin No. 239,Medan Polonia,Medan,20157,CAR0038,BK 2978 JV,Veloz,1.5 Q CVT,2018,Bensin,FWD,CVT,Full-Sintetik,9500,Heavy Daily,3256.5
CUST0039,Reza Lubis,082184213868,"Komp. Citra Garden Blok G27, Jl. Bromo",Medan Amplas,Medan,20148,CAR0039,BK 8986 SA,Avanza,1.3 E,2024,Bensin,RWD,MT,Semi-Sintetik,7000,Heavy Daily,2138.2
CUST0040,Surya Ginting,081358621190,Jl. Sisingamangaraja No. 49,Medan Maimun,Medan,20151,CAR0040,BK 6580 SL,Agya,1.2 G,2019,Bensin,FWD,MT,Mineral,4500,Light Commuter,436.9
CUST0041,Hadi Manurung,085145428453,"Komp. Citra Garden Blok F26, Jl. Menteng",Medan Tuntungan,Medan,20135,CAR0041,BK 6775 KE,Avanza,1.3 E,2021,Bensin,RWD,AT,Semi-Sintetik,7000,Light Commuter,1345.3
CUST0042,Edy Batubara,082130523244,Jl. Karya Wisata No. 237,Medan Area,Medan,20214,CAR0042,BK 5706 YL,Veloz,1.5 Q CVT,2016,Bensin,FWD,CVT,Full-Sintetik,9500,Heavy Daily,1813.7
CUST0043,Frans Tarigan,083819141839,Jl. Setia Budi No. 13,Medan Area,Medan,20214,CAR0043,BK 8473 YK,Corolla Cross,1.8 HV,2023,Hybrid,FWD,CVT,Full-Sintetik,10000,Weekend Warrior,1372.4
CUST0044,Erlina Silalahi,083831589815,"Komp. Citra Garden Blok F19, Jl. HM Yamin",Medan Sunggal,Medan,20128,CAR0044,BK 8557 YY,Raize,1.0 Turbo,2018,Bensin,FWD,CVT,Full-Sintetik,9500,Heavy Daily,2200.9
CUST0045,Boy Susanto,082256279701,Jl. Sekip No. 116,Medan Tuntungan,Medan,20135,CAR0045,BK 2290 TV,Avanza,1.5 G,2022,Bensin,FWD,MT,Semi-Sintetik,7000,Light Commuter,768.3
CUST0046,Taufik Santoso,081349025300,"Komp. Tasbih Blok B10, Jl. Dr. Mansyur",Medan Tembung,Medan,20222,CAR0046,BK 8315 LX,Veloz,1.5 Q CVT,2016,Bensin,FWD,CVT,Full-Sintetik,9500,Heavy Daily,2810.0
CUST0047,Bayu Situmorang,082171713118,"Perumahan J City Blok E27, Jl. Sutomo",Medan Perjuangan,Medan,20233,CAR0047,BK 8788 GJ,Raize,1.0 Turbo,2024,Bensin,FWD,CVT,Full-Sintetik,9500,Heavy Daily,2573.6
CUST0048,Dimas Dalimunthe,083854026872,"Perumahan J City Blok D23, Jl. HM Yamin",Medan Sunggal,Medan,20128,CAR0048,BK 6943 UK,Raize,1.0 Turbo,2019,Bensin,FWD,CVT,Full-Sintetik,9500,Heavy Daily,2024.9
CUST0049,Siti Simanjuntak,081172525529,Jl. Bromo No. 33,Medan Labuhan,Medan,20252,CAR0049,BK 3833 NF,Avanza,1.5 Veloz,2016,Bensin,FWD,MT,Full-Sintetik,9500,Weekend Warrior,1731.3
CUST0050,Indah Purba,081257089422,Jl. Setia Budi No. 240,Medan Labuhan,Medan,20252,CAR0050,BK 8117 PF,Fortuner,2.8 GR 4x4,2021,Diesel,4x4,AT,Full-Sintetik,6000,Heavy Daily,2877.6
CUST0051,Rendi Suryadi,085280429968,Jl. Denai No. 236,Medan Baru,Medan,20153,CAR0051,BK 6841 KM,Avanza,1.5 G,2021,Bensin,FWD,MT,Semi-Sintetik,7000,Light Commuter,1116.6
CUST0052,Agus Susanto,081125092541,"Komp. Tasbih Blok E14, Jl. Karya Wisata",Medan Denai,Medan,20227,CAR0052,BK 8481 EE,Avanza,1.5 G,2019,Bensin,FWD,AT,Semi-Sintetik,7000,Light Commuter,432.0
CUST0053,Erlina Silalahi,085354283121,Jl. AH Nasution No. 232,Medan Marelan,Medan,20255,CAR0053,BK 2027 KH,Fortuner,2.4 VRZ 4x2,2024,Diesel,RWD,AT,Full-Sintetik,6000,Light Commuter,1078.5
CUST0054,Hendra Sembiring,082375584767,Jl. Sutomo No. 52,Medan Helvetia,Medan,20124,CAR0054,BK 9900 DY,Avanza,1.3 E,2025,Bensin,RWD,MT,Semi-Sintetik,7000,Heavy Daily,3698.5
CUST0055,Rosma Panjaitan,081134348156,"Komp. Citra Garden Blok C5, Jl. William Iskandar",Medan Labuhan,Medan,20252,CAR0055,BK 9911 GY,Avanza,1.5 Veloz,2017,Bensin,FWD,AT,Full-Sintetik,9500,Light Commuter,580.3
CUST0056,Surya Rahman,085276364449,"Komp. Tasbih Blok D28, Jl. Halat",Medan Deli,Medan,20241,CAR0056,BK 6661 YP,Rush,1.5 S TRD,2019,Bensin,RWD,AT,Semi-Sintetik,7000,Light Commuter,777.8
CUST0057,Siti Gunawan,081343866866,Jl. Gatot Subroto No. 179,Medan Marelan,Medan,20255,CAR0057,BK 1492 SD,Avanza,1.3 E,2017,Bensin,RWD,AT,Semi-Sintetik,7000,Light Commuter,654.7
CUST0058,Santi Rangkuti,082321042097,"Komp. Royal Sumatra Blok E16, Jl. Jamin Ginting",Medan Kota,Medan,20212,CAR0058,BK 2889 FA,Avanza,1.3 E,2016,Bensin,RWD,AT,Semi-Sintetik,7000,Light Commuter,635.9
CUST0059,Yuni Tanjung,089651263838,"Komp. Royal Sumatra Blok D27, Jl. Gatot Subroto",Medan Selayang,Medan,20131,CAR0059,BK 5238 ZX,Rush,1.5 S TRD,2019,Bensin,RWD,AT,Semi-Sintetik,7000,Weekend Warrior,1628.4
CUST0060,Tiur Nasution,083871593554,Jl. Sekip No. 11,Medan Polonia,Medan,20157,CAR0060,BK 1127 SC,Avanza,1.5 Veloz,2025,Bensin,FWD,MT,Full-Sintetik,9500,Light Commuter,1511.6
CUST0061,Budi Hasibuan,081368506609,"Komp. Cemara Asri Blok G1, Jl. Marelan Raya",Medan Petisah,Medan,20111,CAR0061,BK 9504 WK,Avanza,1.5 G,2018,Bensin,FWD,MT,Semi-Sintetik,7000,Heavy Daily,2414.6
CUST0062,Lestari Silalahi,082111319194,"Perumahan J City Blok A1, Jl. Marelan Raya",Medan Kota,Medan,20212,CAR0062,BK 4674 DF,Raize,1.0 Turbo,2018,Bensin,FWD,CVT,Full-Sintetik,9500,Light Commuter,955.3
CUST0063,Hermanto Silalahi,089631463589,Jl. Ringroad No. 15,Medan Helvetia,Medan,20124,CAR0063,BK 6085 FN,Hilux,2.4 D-Cab 4x4,2022,Diesel,4x4,MT,Full-Sintetik,6000,Light Commuter,903.1
CUST0064,Boy Effendi,085186147282,Jl. Sekip No. 112,Medan Kota,Medan,20212,CAR0064,BK 9821 EK,Avanza,1.3 E,2024,Bensin,RWD,MT,Semi-Sintetik,7000,Heavy Daily,3153.2
CUST0065,Rendi Sembiring,085377055933,Jl. Iskandar Muda No. 212,Medan Area,Medan,20214,CAR0065,BK 7278 SP,Yaris Cross,1.5 HV,2019,Hybrid,FWD,CVT,Full-Sintetik,10000,Heavy Daily,2981.8
CUST0066,Surya Santoso,082118997388,Jl. Menteng No. 187,Medan Sunggal,Medan,20128,CAR0066,BK 5914 VC,Avanza,1.5 Veloz,2020,Bensin,FWD,MT,Full-Sintetik,9500,Heavy Daily,2818.6
CUST0067,Budi Nasution,082189565129,Jl. Adam Malik No. 44,Medan Tembung,Medan,20222,CAR0067,BK 8393 XL,Innova Zenix,2.0 HV,2016,Hybrid,FWD,CVT,Full-Sintetik,10000,Light Commuter,886.1
CUST0068,Dewi Purba,085358868055,"Perumahan J City Blok E13, Jl. Kapten Muslim",Medan Polonia,Medan,20157,CAR0068,BK 6946 FH,Hilux,2.4 D-Cab 4x4,2021,Diesel,4x4,MT,Full-Sintetik,6000,Heavy Daily,3292.9
CUST0069,Iwan Maulana,085262015837,Jl. Ringroad No. 162,Medan Area,Medan,20214,CAR0069,BK 2612 NM,Yaris Cross,1.5 HV,2018,Hybrid,FWD,CVT,Full-Sintetik,10000,Heavy Daily,3485.7
CUST0070,Gunawan Manurung,085292225267,"Komp. Tasbih Blok A28, Jl. Setia Budi",Medan Barat,Medan,20231,CAR0070,BK 4555 KV,Avanza,1.5 Veloz,2020,Bensin,FWD,MT,Full-Sintetik,9500,Weekend Warrior,1102.1
CUST0071,Pranata Saragih,085267119742,"Komp. Royal Sumatra Blok F7, Jl. AH Nasution",Medan Deli,Medan,20241,CAR0071,BK 2221 VS,Avanza,1.5 G,2018,Bensin,FWD,MT,Semi-Sintetik,7000,Heavy Daily,3720.5
CUST0072,Joko Pohan,085252955266,"Komp. Tasbih Blok E11, Jl. Gajah Mada",Medan Amplas,Medan,20148,CAR0072,BK 6823 PK,Avanza,1.5 G,2018,Bensin,FWD,MT,Semi-Sintetik,7000,Light Commuter,1093.8
CUST0073,Ayu Setiawan,081138453216,Jl. Krakatau No. 137,Medan Maimun,Medan,20151,CAR0073,BK 6165 BD,Veloz,1.5 Q CVT,2020,Bensin,FWD,CVT,Full-Sintetik,9500,Heavy Daily,2326.8
CUST0074,Wahyu Saputra,085382737629,Jl. Glugur No. 32,Medan Deli,Medan,20241,CAR0074,BK 5211 NX,Avanza,1.5 Veloz,2017,Bensin,FWD,MT,Full-Sintetik,9500,Heavy Daily,2517.0
CUST0075,Fahmi Silalahi,082138295673,Jl. Adam Malik No. 124,Medan Kota,Medan,20212,CAR0075,BK 1908 UU,Avanza,1.3 E,2025,Bensin,RWD,MT,Semi-Sintetik,7000,Light Commuter,737.6
CUST0076,Rina Marpaung,081216983525,Jl. Krakatau No. 122,Medan Maimun,Medan,20151,CAR0076,BK 2335 RH,Avanza,1.5 G,2018,Bensin,FWD,AT,Semi-Sintetik,7000,Light Commuter,823.1
CUST0077,Erlina Siregar,085284437354,Jl. Dr. Mansyur No. 93,Medan Selayang,Medan,20131,CAR0077,BK 3752 HX,Calya,1.2 G,2022,Bensin,FWD,MT,Mineral,4500,Heavy Daily,2853.9
CUST0078,Surya Susanto,085255159624,"Komp. Cemara Asri Blok F13, Jl. Menteng",Medan Timur,Medan,20231,CAR0078,BK 5666 HH,Innova Reborn,2.4 V Diesel,2020,Diesel,RWD,AT,Full-Sintetik,6000,Weekend Warrior,1887.0
CUST0079,Tiur Wibowo,089667674002,"Komp. Cemara Asri Blok F16, Jl. Marelan Raya",Medan Denai,Medan,20227,CAR0079,BK 3410 WP,Raize,1.0 Turbo,2019,Bensin,FWD,CVT,Full-Sintetik,9500,Heavy Daily,1774.5
CUST0080,Maya Batubara,089696216003,"Perumahan J City Blok G19, Jl. Sekip",Medan Polonia,Medan,20157,CAR0080,BK 8183 PX,Rush,1.5 S TRD,2021,Bensin,RWD,AT,Semi-Sintetik,7000,Weekend Warrior,1578.6
CUST0081,Indra Harahap,083877971371,"Komp. Royal Sumatra Blok G5, Jl. Cemara",Medan Timur,Medan,20231,CAR0081,BK 6041 VM,Avanza,1.5 G,2024,Bensin,FWD,MT,Semi-Sintetik,7000,Heavy Daily,4019.3
CUST0082,Dedi Daulay,081266883095,"Komp. Tasbih Blok D29, Jl. Pancing",Medan Amplas,Medan,20148,CAR0082,BK 2288 MH,Rush,1.5 S TRD,2025,Bensin,RWD,AT,Semi-Sintetik,7000,Heavy Daily,2681.2
CUST0083,Fahmi Sitorus,083885918686,Jl. Karya Wisata No. 162,Medan Area,Medan,20214,CAR0083,BK 6711 JA,Yaris,1.5 S,2016,Bensin,FWD,CVT,Full-Sintetik,9500,Heavy Daily,2593.8
CUST0084,Rendi Setiawan,085276925855,Jl. Krakatau No. 232,Medan Marelan,Medan,20255,CAR0084,BK 1538 AC,Rush,1.5 S TRD,2021,Bensin,RWD,AT,Semi-Sintetik,7000,Light Commuter,1043.0
CUST0085,Mega Rangkuti,085255424877,Jl. Pancing No. 147,Medan Polonia,Medan,20157,CAR0085,BK 4941 LL,Avanza,1.5 G,2022,Bensin,FWD,MT,Semi-Sintetik,7000,Heavy Daily,3053.2
CUST0086,Edy Marpaung,085356521944,"Komp. Cemara Asri Blok G19, Jl. Adam Malik",Medan Sunggal,Medan,20128,CAR0086,BK 5057 FE,Fortuner,2.8 GR 4x4,2022,Diesel,4x4,AT,Full-Sintetik,6000,Light Commuter,945.4
CUST0087,Indra Simanjuntak,082112236471,Jl. Pasar Merah No. 112,Medan Area,Medan,20214,CAR0087,BK 6748 AF,Fortuner,2.4 VRZ 4x2,2017,Diesel,RWD,AT,Full-Sintetik,6000,Light Commuter,845.1
CUST0088,Indra Wibowo,082225327326,Jl. Kapten Muslim No. 178,Medan Labuhan,Medan,20252,CAR0088,BK 9657 ET,Raize,1.0 Turbo,2024,Bensin,FWD,CVT,Full-Sintetik,9500,Heavy Daily,1200.0
CUST0089,Hermanto Nugroho,082391295635,Jl. Pancing No. 240,Medan Sunggal,Medan,20128,CAR0089,BK 6505 NZ,Innova Reborn,2.0 G Bensin,2019,Bensin,RWD,AT,Semi-Sintetik,7000,Heavy Daily,2746.7
CUST0090,Fitri Tanaka,081355637590,Jl. Dr. Mansyur No. 162,Medan Amplas,Medan,20148,CAR0090,BK 7294 HM,Innova Reborn,2.4 V Diesel,2024,Diesel,RWD,AT,Full-Sintetik,6000,Light Commuter,789.7
CUST0091,Rina Saputra,081335938392,Jl. Menteng No. 187,Medan Sunggal,Medan,20128,CAR0091,BK 9528 MF,Avanza,1.3 E,2017,Bensin,RWD,MT,Semi-Sintetik,7000,Light Commuter,458.8
CUST0092,Reza Sembiring,085196685406,Jl. Menteng No. 215,Medan Denai,Medan,20227,CAR0092,BK 9926 MY,Innova Zenix,2.0 HV,2016,Hybrid,FWD,CVT,Full-Sintetik,10000,Light Commuter,942.7
CUST0093,Agus Rahman,081281426847,"Komp. Cemara Asri Blok D24, Jl. Gajah Mada",Medan Barat,Medan,20231,CAR0093,BK 8255 WC,Avanza,1.3 E,2017,Bensin,RWD,MT,Semi-Sintetik,7000,Light Commuter,1219.1
CUST0094,Rosma Wijaya,081214954353,Jl. Sisingamangaraja No. 92,Medan Polonia,Medan,20157,CAR0094,BK 1554 NL,Innova Reborn,2.4 V Diesel,2022,Diesel,RWD,AT,Full-Sintetik,6000,Light Commuter,1036.8
CUST0095,Mega Nugroho,081287887658,Jl. Adam Malik No. 200,Medan Tembung,Medan,20222,CAR0095,BK 6038 PB,Avanza,1.5 Veloz,2018,Bensin,FWD,MT,Full-Sintetik,9500,Light Commuter,738.6
CUST0096,Siti Sitorus,083849931040,Jl. SM Raja No. 66,Medan Helvetia,Medan,20124,CAR0096,BK 5215 EH,Corolla Cross,1.8 HV,2017,Hybrid,FWD,CVT,Full-Sintetik,10000,Heavy Daily,3306.0
CUST0097,Rendi Batubara,081170433291,"Perumahan J City Blok D11, Jl. Dr. Mansyur",Medan Tuntungan,Medan,20135,CAR0097,BK 6428 XE,Avanza,1.5 G,2016,Bensin,FWD,AT,Semi-Sintetik,7000,Weekend Warrior,1639.9
CUST0098,Edy Ginting,085220303473,Jl. Glugur No. 216,Medan Maimun,Medan,20151,CAR0098,BK 7590 KU,Corolla Cross,1.8 HV,2020,Hybrid,FWD,CVT,Full-Sintetik,10000,Light Commuter,647.7
CUST0099,Bayu Hutabarat,085282665801,Jl. Kapten Muslim No. 74,Medan Tuntungan,Medan,20135,CAR0099,BK 5832 RS,Veloz,1.5 Q CVT,2020,Bensin,FWD,CVT,Full-Sintetik,9500,Weekend Warrior,1347.8
CUST0100,Wahyu Simanjuntak,089687007307,Jl. Jamin Ginting No. 16,Medan Tembung,Medan,20222,CAR0100,BK 7461 KG,Rush,1.5 S TRD,2021,Bensin,RWD,AT,Semi-Sintetik,7000,Heavy Daily,1660.0
CUST0101,Roni Rahman,082222091927,"Komp. Citra Garden Blok C6, Jl. Iskandar Muda",Medan Amplas,Medan,20148,CAR0101,BK 3524 DD,Avanza,1.5 G,2018,Bensin,FWD,MT,Semi-Sintetik,7000,Weekend Warrior,1644.5
CUST0102,Siti Rangkuti,082250464783,Jl. Denai No. 240,Medan Tuntungan,Medan,20135,CAR0102,BK 5186 MY,Avanza,1.3 E,2017,Bensin,RWD,AT,Semi-Sintetik,7000,Light Commuter,1033.3
CUST0103,Reza Batubara,085231156043,"Komp. Citra Garden Blok C16, Jl. Glugur",Medan Labuhan,Medan,20252,CAR0103,BK 8351 YS,Fortuner,2.4 VRZ 4x2,2021,Diesel,RWD,AT,Full-Sintetik,6000,Light Commuter,876.5
CUST0104,Putri Santoso,082286903172,"Perumahan J City Blok B11, Jl. Krakatau",Medan Perjuangan,Medan,20233,CAR0104,BK 7811 MZ,Innova Zenix,2.0 HV,2016,Hybrid,FWD,CVT,Full-Sintetik,10000,Heavy Daily,2170.4
CUST0105,Agus Silalahi,081180536713,"Komp. Royal Sumatra Blok G29, Jl. Sekip",Medan Amplas,Medan,20148,CAR0105,BK 1378 MK,Fortuner,2.4 VRZ 4x2,2024,Diesel,RWD,AT,Full-Sintetik,6000,Light Commuter,375.0
CUST0106,Maya Wirawan,083834028087,"Komp. Royal Sumatra Blok D10, Jl. Brigjen Katamso",Medan Polonia,Medan,20157,CAR0106,BK 4197 CR,Yaris,1.5 S,2025,Bensin,FWD,CVT,Full-Sintetik,9500,Light Commuter,892.8
CUST0107,Tiur Susanto,089648962256,"Komp. Cemara Asri Blok F3, Jl. Denai",Medan Barat,Medan,20231,CAR0107,BK 6208 ZX,Avanza,1.5 G,2025,Bensin,FWD,MT,Semi-Sintetik,7000,Weekend Warrior,1828.8
CUST0108,Andi Pulungan,085333745644,Jl. Krakatau No. 12,Medan Baru,Medan,20153,CAR0108,BK 8285 KK,Avanza,1.3 E,2022,Bensin,RWD,AT,Semi-Sintetik,7000,Heavy Daily,1716.4
CUST0109,Pranata Nasution,083872835043,"Perumahan J City Blok D12, Jl. Menteng",Medan Petisah,Medan,20111,CAR0109,BK 5245 FT,Raize,1.0 Turbo,2024,Bensin,FWD,CVT,Full-Sintetik,9500,Heavy Daily,3972.0
CUST0110,Wahyu Pasaribu,083824621011,"Komp. Tasbih Blok D1, Jl. SM Raja",Medan Timur,Medan,20231,CAR0110,BK 2616 HU,Avanza,1.3 E,2019,Bensin,RWD,AT,Semi-Sintetik,7000,Light Commuter,908.5
